id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-10-29T20:17:06;Savings Account Dam;CANCELLED;CREDIT_CARD;2019-10-30T13:38:37;96990
2;parsing red Chips;2019-10-30T10:35:45;methodology Albania;ISSUED;CASH_ON_DELIVERY;2019-10-30T06:12:18;23277
3;Licensed Savings Account;2019-10-30T05:49:07;Planner Canyon;ISSUED;PAYPAL;2019-10-30T09:27:22;68423
4;infomediaries;2019-10-30T12:04:07;Buckinghamshire Games;ISSUED;CREDIT_CARD;2019-10-30T10:33:40;3131
5;synthesizing Views e-enable;2019-10-29T16:45:28;capacitor archive;PAID;CREDIT_CARD;2019-10-30T00:54:56;35675
6;mission-critical Faroe Islands Plastic;2019-10-29T19:44:42;Small;CANCELLED;PAYPAL;2019-10-29T22:01:59;71134
7;1080p Checking Account Identity;2019-10-29T23:22:18;Internal;PAID;PAYPAL;2019-10-30T00:48:23;63755
8;COM;2019-10-30T03:39:52;Frozen bus;PAID;PAYPAL;2019-10-30T04:44:12;11089
9;partnerships;2019-10-30T10:09:23;Dynamic;ISSUED;CASH_ON_DELIVERY;2019-10-30T10:07:27;22879
10;Generic neutral Salad;2019-10-29T16:41:06;virtual deposit;ISSUED;CREDIT_CARD;2019-10-30T07:21:56;90682
